Altium Designer Pick and Place Locations
C:\Users\Victor Holanda\Documents\28Pins_Project_V1]1\BOM\Pick Place\Pick Place for 28Pins_Project_V1[1_PCB.(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       21/05/21
Time:       14:47
Revision:   5e75555ec9e27382c7edb27a4149d9886631ded5
Variant:    5V/3V3
Units used: mm

Designator    Comment                 Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
D6            BAT54HT1G               TopLayer SOD323                           62.4078      24.8920      0        "Small Signal Schottky Diode, Single, 30 V, 200 Ma, 800 Mv, 600 Ma, 150 C"                                                                                                                                                                                
D5            BAT54HT1G               TopLayer SOD323                           1.6510       28.3210      270      "Small Signal Schottky Diode, Single, 30 V, 200 Ma, 800 Mv, 600 Ma, 150 C"                                                                                                                                                                                
FB1           MPZ2012S601AT000        TopLayer C0805                            20.9804      18.4912      90       "Ferrite Beads Multi-Layer Power 600Ohm 25% 100MHz 2A 100mOhm DCR 0805 T/R"                                                                                                                                                                               
FB2           MPZ2012S601AT000        TopLayer C0805                            48.1990      5.0800       0        "Ferrite Beads Multi-Layer Power 600Ohm 25% 100MHz 2A 100mOhm DCR 0805 T/R"                                                                                                                                                                               
FB3           MPZ2012S601AT000        TopLayer C0805                            45.2628      6.3246       90       "Ferrite Beads Multi-Layer Power 600Ohm 25% 100MHz 2A 100mOhm DCR 0805 T/R"                                                                                                                                                                               
J7            10118193-0001LF         TopLayer 10118193                         3.6235       19.9410      270      "CONN USB MICRO B RECPT SMT R/A"                                                                                                                                                                                                                          
J8            4MMx1.5MM               TopLayer PAD_WITH_HOLE_4MMX1.5MM          2.7178       3.0734       0        PAD_WITH_HOLE_4MMX1.5MM                                                                                                                                                                                                                                   
J9            4MMx1.5MM               TopLayer PAD_WITH_HOLE_4MMX1.5MM          2.7178       13.6906      0        PAD_WITH_HOLE_4MMX1.5MM                                                                                                                                                                                                                                   
L1            "2u2 / 2A"              TopLayer C1210_1ND                        2.5400       8.5600       270      "KEMET         L1210R2R2MDWIT             Product Range:L-DWI Series"                                                                                                                                                                                     
R1            100K                    TopLayer R0805                            18.3388      40.0050      90       "Res Thick Film 0805 100K Ohm 1% 1/8W ±100ppm/°C Molded SMD Paper T/R"                                                                                                                                                                                    
R2            560R                    TopLayer R0805                            29.6500      43.4500      0        "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                          
R3            560R                    TopLayer R0805                            29.5500      41.1250      0        "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                          
R5            22R                     TopLayer R0805                            10.1854      34.0106      180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R6            22R                     TopLayer R0805                            10.2870      21.2090      0        "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R7            22R                     TopLayer R0805                            10.2870      19.0246      0        "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R8            0R                      TopLayer R0805                            10.2870      16.8402      0        "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                   
R9            1M                      TopLayer R0805                            23.0886      27.0764      90       "Res Thick Film 0805 1M Ohm 1% 0.125W(1/8W) ±100ppm/C Epoxy SMD T/R"                                                                                                                                                                                      
R10           1k                      TopLayer R0805                            61.8490      46.1518      90       "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R11           1k                      TopLayer R0805                            59.1820      46.1264      90       "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R12           1k                      TopLayer R0805                            64.3128      42.3316      90       "RES SMD 1K OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R13           22R                     TopLayer R0805                            37.8968      9.7028       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R15           560R                    TopLayer R0805                            25.1460      44.4500      180      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                          
R16           1M                      TopLayer R0805                            42.2910      23.2156      180      "Res Thick Film 0805 1M Ohm 1% 0.125W(1/8W) ±100ppm/C Epoxy SMD T/R"                                                                                                                                                                                      
R23           22R                     TopLayer R0805                            2.4130       25.2730      0        "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
R24           22R                     TopLayer R0805                            65.5574      23.1394      270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                             
SW1           1825910-6               TopLayer 1825910-6                        64.9224      29.0068      270      "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                               
SW2           1825910-6               TopLayer 1825910-6                        22.6060      4.8260       0        "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                               
U3            TL1963A-33DCQR          TopLayer DCQ_(R-PDSO-G6)                  16.4084      14.0208      90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                        
U1            ATMEGA328P-PU           TopLayer 28_DIP_7.62MM                    45.8216      16.5862      270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                        
U4            SN74AHC1G09DBVR         TopLayer DBV_SDT_23_5                     19.1770      43.7388      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
U5            SN74AHC1G09DBVR         TopLayer DBV_SDT_23_5                     6.6802       26.1112      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
Y2            ABM7-8.000MHZ-D2Y-T     TopLayer ABM7_V1_1_BIG                    26.0350      29.2608      90       "ABRACON - ABM7-8.000MHZ-D2Y-T - Crystal, Miniature, 8 MHz, SMD, 6mm x 3.5mm, 30 ppm, 18 pF, 20 ppm, ABM7 Series"                                                                                                                                         
Y1            ABM7-10.000MHZ-D2Y-T    TopLayer ABM7_V1_1_BIG                    44.0436      28.5750      180      "ABRACON - ABM7-10.000MHZ-D2Y-T - CRYSTAL, 10MHZ, 18PF, 6MM X 3.5MM"                                                                                                                                                                                      
Z1            CG0603MLC-05E           TopLayer R0603                            7.4676       21.7932      270      "VARISTOR 0603"                                                                                                                                                                                                                                           
Z2            CG0603MLC-05E           TopLayer R0603                            7.4676       18.8214      90       "VARISTOR 0603"                                                                                                                                                                                                                                           
MH4           MH_7.4MMNC_3.2MMD       TopLayer MH_7.4MMD_3.2MMD_NON_COPPER_NPTH 15.7988      50.6476      0        "Hole 7.4mm Diameter (Non Copper), 3.2mm Drill NPTH"                                                                                                                                                                                                      
16            100n                    TopLayer C0805                            36.0934      5.4610       90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C4            100n                    TopLayer C0805                            21.0058      22.3012      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C5            100n                    TopLayer C0805                            23.0886      30.7848      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C6            100n                    TopLayer C0805                            18.6690      22.3520      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C8            100n                    TopLayer C0805                            2.6924       44.0436      90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C11           100n                    TopLayer C0805                            64.2874      46.0604      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C14           100n                    TopLayer C0805                            39.9034      4.8768       0        "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
